stage,method,geometry,family,mask,pooling,classifier,dim,oof_acc,oof_n,cv_acc,cv_std,cv_f1,cv_folds,epoch_budget,fold_epochs,test_ensemble_acc,test_ensemble_f1,test_refit_acc,test_refit_f1,refit_unreliable,test_n,test_single_acc,test_single_f1,test_ensemble_correct,test_ensemble_ci,test_refit_correct,test_refit_ci
probe,dinov3_b16,g32_t5,frozen,nomask,avg+max,linear,7680,86.86176836861769,1606,86.86170933224976,1.517119439463187,0.867623248029384,"[86.95652173913044, 85.35825545171339, 87.85046728971963, 88.78504672897196, 85.35825545171339]",3,"[1, 3, 5, 3, 2]",90.5027932960894,0.9051893007460882,91.06145251396647,0.9096616991759496,True,179,91.62011173184358,0.9165661591817702,162,"[85.3,94.0]",163,"[86.0,94.4]"
probe,dinov3_b16,g32_t5,frozen,nomask,avg+max,mlp,7680,87.67123287671232,1606,87.67090420077011,1.1402548080945492,0.8759556025692102,"[88.19875776397515, 85.66978193146417, 87.85046728971963, 88.47352024922118, 88.1619937694704]",5,"[9, 5, 7, 3, 4]",91.62011173184358,0.9161605419669936,91.62011173184358,0.9161605419669936,False,179,91.62011173184358,0.916143661900296,164,"[86.6,94.9]",164,"[86.6,94.9]"
probe,dinov2_reg,g32_t5,frozen,masked,avg,linear,3840,88.6052303860523,1606,88.6039356823591,1.3969866327521936,0.8852797534899672,"[90.6832298136646, 87.85046728971963, 88.78504672897196, 86.91588785046729, 88.78504672897196]",3,"[6, 2, 3, 3, 4]",93.29608938547486,0.9331853730712323,92.73743016759776,0.9275959846867602,True,179,92.17877094972067,0.9219799359923535,167,"[88.6,96.1]",166,"[88.0,95.7]"
probe,dinov2_reg,g32_t5,frozen,masked,avg,mlp,3840,89.41469489414695,1606,89.41390452971112,1.6243670408165742,0.8938272315066798,"[90.6832298136646, 88.47352024922118, 88.47352024922118, 87.85046728971963, 91.58878504672897]",6,"[10, 6, 3, 9, 4]",92.17877094972067,0.9220674075778889,93.29608938547486,0.9330307672954559,False,179,91.06145251396647,0.911197907507057,165,"[87.3,95.3]",167,"[88.6,96.1]"
probe,dinov2_reg,g32_t5,frozen,masked,max,linear,3840,88.35616438356165,1606,88.35587546680598,1.7170948674253101,0.8833369331367843,"[88.81987577639751, 87.22741433021807, 90.03115264797508, 85.98130841121495, 89.7196261682243]",6,"[13, 3, 7, 5, 6]",92.73743016759776,0.9277639922801213,93.85474860335195,0.9391547731112999,False,179,94.41340782122904,0.9443727692443453,166,"[88.0,95.7]",168,"[89.3,96.5]"
probe,dinov2_reg,g32_t5,frozen,masked,max,mlp,3840,88.35616438356165,1606,88.35626245622181,0.9224225765220198,0.882682245661352,"[88.19875776397515, 87.53894080996885, 89.7196261682243, 87.53894080996885, 88.78504672897196]",8,"[4, 13, 8, 8, 8]",94.41340782122904,0.9446962201391556,90.5027932960894,0.9051095633756924,False,179,92.73743016759776,0.9280352883703555,169,"[90.0,96.9]",162,"[85.3,94.0]"
probe,dinov2_reg,g32_t5,frozen,masked,avg+max,linear,7680,89.72602739726028,1606,89.7265919777094,1.5834250199918867,0.8964053231890523,"[88.81987577639751, 87.53894080996885, 91.58878504672897, 90.03115264797508, 90.65420560747664]",4,"[2, 6, 6, 3, 4]",91.62011173184358,0.9162192365024322,91.06145251396647,0.9113500753833473,False,179,90.5027932960894,0.9061040443047539,164,"[86.6,94.9]",163,"[86.0,94.4]"
probe,dinov2_reg,g32_t5,frozen,masked,avg+max,mlp,7680,88.85429638854296,1606,88.8539308449914,1.1779351701364567,0.8875583169587941,"[89.44099378881988, 86.91588785046729, 88.78504672897196, 89.09657320872275, 90.03115264797508]",3,"[13, 23, 3, 3, 3]",93.29608938547486,0.9331853730712323,93.29608938547486,0.9334939595391555,True,179,93.85474860335195,0.9386140268144929,167,"[88.6,96.1]",167,"[88.6,96.1]"
probe,dinov2_reg,g32_t5,frozen,nomask,avg,linear,3840,87.733499377335,1606,87.73282250730442,1.3214218135977587,0.8759445308440814,"[88.81987577639751, 86.29283489096574, 88.47352024922118, 88.78504672897196, 86.29283489096574]",5,"[6, 2, 5, 3, 5]",91.62011173184358,0.9161080917874397,91.62011173184358,0.9163794112257042,False,179,89.3854748603352,0.89470754341444,164,"[86.6,94.9]",164,"[86.6,94.9]"
probe,dinov2_reg,g32_t5,frozen,nomask,avg,mlp,3840,87.29763387297635,1606,87.29823339331668,0.8523025673394263,0.8716795765284344,"[86.33540372670807, 88.1619937694704, 87.22741433021807, 88.1619937694704, 86.6043613707165]",9,"[19, 10, 3, 9, 4]",92.73743016759776,0.9275849007971434,89.94413407821229,0.9000927941417014,False,179,92.17877094972067,0.9222795903895302,166,"[88.0,95.7]",161,"[84.7,93.5]"
probe,dinov2_reg,g32_t5,frozen,nomask,max,linear,3840,86.3013698630137,1606,86.3005746792825,1.0679286534864576,0.8625317501729002,"[87.5776397515528, 85.35825545171339, 86.6043613707165, 85.04672897196261, 86.91588785046729]",5,"[4, 5, 5, 6, 1]",91.06145251396647,0.9112337577171337,91.06145251396647,0.9111810232777975,False,179,90.5027932960894,0.9058162474459241,163,"[86.0,94.4]",163,"[86.0,94.4]"
probe,dinov2_reg,g32_t5,frozen,nomask,max,mlp,3840,87.17310087173101,1606,87.17226833846094,1.828316638431212,0.8711290319810552,"[88.50931677018633, 84.11214953271028, 86.91588785046729, 88.47352024922118, 87.85046728971963]",4,"[3, 23, 4, 7, 1]",92.73743016759776,0.9278977859086217,91.06145251396647,0.9101975697176327,False,179,92.17877094972067,0.9223590342898444,166,"[88.0,95.7]",163,"[86.0,94.4]"
probe,dinov2_reg,g32_t5,frozen,nomask,avg+max,linear,7680,87.23536737235368,1606,87.23418664499525,1.179219283328808,0.8715748849063125,"[89.13043478260869, 87.53894080996885, 86.29283489096574, 86.91588785046729, 86.29283489096574]",5,"[7, 6, 5, 3, 1]",89.3854748603352,0.8947036038331901,91.62011173184358,0.9165538438760359,False,179,91.62011173184358,0.9166365521574035,160,"[84.0,93.1]",164,"[86.6,94.9]"
probe,dinov2_reg,g32_t5,frozen,nomask,avg+max,mlp,7680,87.67123287671232,1606,87.67109769547804,1.5050072614152499,0.8758800720737485,"[87.88819875776397, 85.04672897196261, 88.47352024922118, 88.78504672897196, 88.1619937694704]",5,"[5, 17, 5, 3, 3]",91.06145251396647,0.9111183134633146,91.06145251396647,0.9111855012061991,False,179,92.17877094972067,0.922515331890332,163,"[86.0,94.4]",163,"[86.0,94.4]"
